tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-2835,Piracicaba,Clay,32,C,O,20260622,1,T0DM,1,,Juan Bautista Torres,R,178,ARG,24.222,281,190,H0CD,,,Alex Hernandez,R,175,MEX,26.998,422,114,3-6 6-2 6-0,3,R32,128,4,2,89,52,30,19,12,7,11,3,5,81,49,28,9,11,8,15
2026-2835,Piracicaba,Clay,32,C,O,20260622,2,S0EK,4,,Matias Soto,R,170,CHI,27.154,300,179,MV75,,,Ignacio Monzon,R,173,ARG,28.46,695,48,6-3 6-1,3,R32,85,2,3,43,22,17,13,8,1,2,0,1,64,52,27,4,8,5,10
2026-2835,Piracicaba,Clay,32,C,O,20260622,3,P0DF,,,Matheus Pucinelli De Almeida,R,183,BRA,25.224,409,119,A0IK,5,,Luciano Emanuel Ambrogi,R,188,ARG,22.59,323,169,6-7(3) 6-3 6-1,3,R32,141,1,6,91,52,38,21,14,6,9,1,2,91,62,35,12,14,8,15
2026-2835,Piracicaba,Clay,32,C,O,20260622,4,CG07,,,Hernan Casanova,R,178,ARG,32.372,406,119,R09V,8,,Eduardo Ribeiro,R,178,BRA,28.266,376,133,7-5 6-2,3,R32,86,0,2,61,46,33,7,10,2,3,0,3,64,36,21,14,10,4,8
2026-2835,Piracicaba,Clay,32,C,O,20260622,5,V821,,,Gonzalo Villanueva,R,175,ARG,31.439,397,124,V0F6,,,Nicolas Villalon,R,180,CHI,22.333,664,53,1-6 6-3 6-1,3,R32,133,1,3,80,41,28,19,12,5,9,0,0,79,51,31,11,11,11,16
2026-2835,Piracicaba,Clay,32,C,O,20260622,6,H0A4,6,,Nick Hardt,R,185,DOM,25.752,270,202,O0CL,,,Nicolas Oliveira,,,,,834,31,2-6 6-4 6-4,3,R32,140,2,6,96,51,27,24,14,10,15,2,1,90,62,38,15,14,9,14
2026-2835,Piracicaba,Clay,32,C,O,20260622,7,A0G7,,,Valerio Aboian,L,183,ARG,24.022,464,99,B0NF,,,Valentin Basel,L,185,ARG,22.053,1114,13,6-4 6-2,3,R32,94,3,2,48,25,19,11,9,1,3,0,1,66,43,22,11,9,6,11
2026-2835,Piracicaba,Clay,32,C,O,20260622,8,A0JW,,,Joaquin Aguilar Cardozo,R,168,URY,21.205,582,66,E0DI,,,Juan Estevez,R,170,ARG,20.747,343,153,6-2 6-3,3,R32,77,0,6,61,37,26,12,9,4,6,0,3,51,33,18,5,8,6,11
2026-2835,Piracicaba,Clay,32,C,O,20260622,9,S0IV,,,Paulo Andre Saraiva Dos Santos,R,180,BRA,25.996,503,88,D0IP,,,Gustavo Ribeiro De Almeida,R,180,BRA,20.175,743,41,7-5 6-3,3,R32,94,3,3,48,24,21,14,10,0,2,1,0,74,47,27,10,11,8,13
2026-2835,Piracicaba,Clay,32,C,O,20260622,10,L0GR,2,,Juan Manuel La Serna,L,188,ARG,22.376,298,180,K0MX,,,Enzo Kohlmann De Freitas,R,178,BRA,19.765,940,22,6-4 6-7(1) 6-4,3,R32,180,1,5,109,65,36,21,16,11,18,2,5,107,67,34,19,16,5,14
2026-2835,Piracicaba,Clay,32,C,O,20260622,11,SX91,3,,Thiago Seyboth Wild,R,185,BRA,26.283,292,183,M0OT,,,Luis Felipe Miguel,R,,BRA,22.283,902,25,2-6 6-3 6-2,3,R32,116,2,3,82,47,34,20,13,2,4,2,3,72,43,28,16,12,3,6
2026-2835,Piracicaba,Clay,32,C,O,20260622,12,A0L6,,,Lucas Andrade Da Silva,,,BRA,21.405,885,26,HG90,,,Conner Huertas del Pino,R,188,PER,30.505,639,55,6-4 6-3,3,R32,103,1,5,63,41,33,10,9,3,3,3,6,73,44,30,11,10,9,12
2026-2835,Piracicaba,Clay,32,C,O,20260622,13,LA54,,,Wilson Leite,R,178,BRA,34.626,801,35,B19W,,,Filipe Bullamah,,,,,,,6-0 6-3,3,R32,78,4,0,47,34,25,7,8,2,3,1,4,47,27,14,5,7,4,9
2026-2835,Piracicaba,Clay,32,C,O,20260622,14,RH59,,,Santiago Rodriguez Taverna,R,191,ARG,26.935,392,127,C0GK,,,Thiago Cigarran,R,183,ARG,26.24,722,45,7-6(9) 3-6 6-2,3,R32,185,2,12,108,60,42,22,14,11,15,1,13,117,78,52,15,15,12,17
2026-2835,Piracicaba,Clay,32,C,O,20260622,15,Z0BY,,,Nicolas Zanellato,R,168,BRA,24.413,802,35,Z0CO,,,Maximo Zeitune,R,196,ARG,20.386,625,58,7-6(4) 3-6 6-4,3,R32,406,2,3,97,75,47,13,16,2,6,6,4,94,64,41,19,15,2,5
2026-3021,Targu Mures,Clay,32,C,O,20260622,1,C0B2,,,Cezar Cretu,R,188,ROU,25.161,287,186,SQ80,,,Akira Santillan,R,180,AUS,29.084,310,176,6-4 6-3,3,R32,85,3,2,42,33,30,6,9,0,0,2,6,70,38,28,13,10,5,8
