Seed,Full Name,Wimbledon WR,Rec. Grass WR,Grass WR,Recent Form,Wimb Matches,Deep Run,Score,Confidence
1,Jannik Sinner,78.7%,82.4%,75.8%,89.3%,23,1.00,0.8442,HIGH
3,Novak Djokovic,86.7%,71.4%,85.0%,71.8%,112,1.00,0.7746,HIGH
5,Taylor Fritz,59.7%,77.1%,71.5%,65.5%,26,0.38,0.6258,HIGH
6,Alex de Minaur,70.0%,72.9%,65.0%,63.8%,19,0.00,0.5824,HIGH
4,Daniil Medvedev,63.2%,57.7%,59.9%,61.7%,25,0.60,0.5784,MEDIUM
10,Alexander Bublik,54.9%,80.9%,65.4%,62.9%,16,0.00,0.5666,MEDIUM
2,Alexander Zverev,57.9%,62.4%,57.6%,65.1%,34,0.00,0.5383,MEDIUM
15,Tommy Paul,64.3%,62.9%,60.8%,66.0%,14,0.00,0.5307,MEDIUM
12,Frances Tiafoe,58.3%,65.0%,59.2%,50.0%,21,0.00,0.4977,LOW
16,Jack Draper,29.5%,69.6%,61.1%,70.2%,12,0.00,0.4796,LOW
7,Ben Shelton,66.8%,48.0%,54.1%,58.5%,11,0.00,0.4764,LOW
14,Karen Khachanov,62.8%,49.5%,51.2%,57.5%,21,0.00,0.4599,LOW
9,Flavio Cobolli,61.3%,47.1%,46.1%,54.6%,7,0.00,0.4393,VERY LOW
8,Felix Auger-Aliassime,42.9%,48.5%,53.0%,59.4%,12,0.00,0.4234,VERY LOW
13,Joao Fonseca,59.5%,41.4%,39.3%,58.7%,3,0.00,0.4108,VERY LOW
11,Jakub Mensik,48.5%,38.9%,37.9%,59.2%,4,0.00,0.3792,VERY LOW
