seed,player,rating,semifinal_prob_%,final_prob_%,title_prob_%
1,Sinner J.,1972.0,64.5,53.1,34.1
7,Djokovic N.,1977.0,59.3,49.5,32.5
2,Zverev A.,1813.7,22.0,14.4,6.6
6,Fritz T.,1777.2,32.7,12.3,5.2
8,Medvedev D.,1749.8,14.8,8.4,2.9
5,De Minaur A.,1726.6,18.8,6.0,2.1
21,Paul T.,1729.4,18.2,5.8,2.0
3,Auger-Aliassime F.,1698.7,20.8,5.8,1.9
4,Shelton B.,1699.0,17.5,5.1,1.7
20,Fils A.,1709.2,15.8,4.8,1.6
17,Tiafoe F.,1717.5,7.9,4.2,1.4
10,Bublik A.,1696.8,6.1,3.2,1.1
13,Lehecka J.,1675.3,10.9,3.0,0.8
12,Rublev A.,1675.3,10.0,2.7,0.8
18,Cerundolo F.,1668.3,4.5,2.1,0.7
11,Ruud C.,1649.2,10.5,2.2,0.7
9,Cobolli F.,1645.0,4.8,1.9,0.5
19,Khachanov K.,1622.3,9.6,2.0,0.4
15,Mensik J.,1636.6,3.1,1.3,0.4
16,Tien L.,1632.7,2.8,1.3,0.4
27,Humbert U.,1640.1,7.7,1.7,0.4
28,Nakashima B.,1628.0,6.0,1.3,0.3
22,Davidovich Fokina A.,1613.2,7.0,1.4,0.3
14,Darderi L.,1581.1,6.0,1.0,0.2
24,Fonseca J.,1603.3,2.6,1.0,0.2
23,Jodar R.,1623.5,2.2,0.9,0.2
26,Norrie C.,1625.1,1.7,0.7,0.2
30,Tabilo A.,1592.6,5.8,1.1,0.2
25,Rinderknech A.,1571.2,1.8,0.7,0.1
29,Etcheverry T.,1550.5,2.7,0.4,0.1
31,Buse I.,1568.7,1.1,0.4,0.1
32,Arnaldi M.,1544.9,0.8,0.2,0.0
