seed,player,rating,semifinal_prob_%,final_prob_%,title_prob_%
1,Sabalenka A.,1875.3,46.9,33.3,21.8
3,Swiatek I.,1817.9,31.1,19.1,10.8
4,Pegula J.,1790.6,35.5,18.1,10.0
2,Rybakina E.,1809.9,31.6,18.1,9.9
11,Bencic B.,1754.6,20.6,10.8,5.4
8,Svitolina E.,1756.4,17.8,10.0,5.0
6,Anisimova A.,1758.0,18.2,10.1,4.6
5,Andreeva M.,1727.6,21.2,9.2,4.2
26,Keys M.,1755.5,17.4,9.0,4.2
9,Noskova L.,1717.5,14.4,7.4,3.5
7,Gauff C.,1737.6,14.7,7.1,3.3
10,Muchova K.,1703.7,11.7,5.0,2.1
12,Kostyuk M.,1688.0,12.9,4.8,1.9
14,Osaka N.,1692.3,10.0,4.4,1.7
21,Bouzkova M.,1655.6,9.0,3.1,1.2
27,Potapova A.,1677.9,7.2,2.9,1.1
15,Shnaider D.,1657.8,7.8,2.8,0.9
31,Vekic D.,1659.3,6.2,2.3,0.9
25,Mertens E.,1649.6,5.3,2.2,0.8
13,Paolini J.,1629.0,8.5,2.5,0.8
30,Raducanu E.,1664.9,5.8,2.4,0.8
16,Jovic I.,1638.9,4.9,2.0,0.7
23,Navarro E.,1651.2,5.8,2.1,0.7
17,Cirstea S.,1643.5,5.2,2.1,0.7
18,Alexandrova E.,1622.5,4.9,1.5,0.5
19,Kalinskaya A.,1635.5,4.7,1.7,0.5
32,Siniakova K.,1620.5,3.5,1.3,0.4
29,Eala A.,1611.2,5.2,1.5,0.4
20,Chwalinska M.,1574.6,4.3,1.1,0.3
22,Fernandez L.A.,1585.2,2.5,0.8,0.2
28,Li A.,1575.5,3.5,0.9,0.2
24,Tauson C.,1561.0,1.9,0.6,0.1
