Seed,Full Name,Wimbledon WR,Rec. Grass WR,Grass WR,Recent Form,Wimb Matches,Deep Run,Score,Confidence
16,Emma Navarro,0.0%,36.2%,36.2%,0.0%,3,0.00,0.1708,HIGH
1,Aryna Sabalenka,0.0%,0.0%,0.0%,0.0%,0,0.00,0.07,HIGH
2,Elena Rybakina,0.0%,0.0%,0.0%,0.0%,0,0.00,0.035,HIGH
3,Iga Swiatek,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0233,HIGH
4,Jessica Pegula,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0175,MEDIUM
5,Mirra Andreeva,0.0%,0.0%,0.0%,0.0%,0,0.00,0.014,MEDIUM
6,Amanda Anisimova,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0117,MEDIUM
7,Coco Gauff,0.0%,0.0%,0.0%,0.0%,0,0.00,0.01,MEDIUM
8,Elina Svitolina,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0088,LOW
9,Linda Noskova,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0078,LOW
10,Karolina Muchova,0.0%,0.0%,0.0%,0.0%,0,0.00,0.007,LOW
11,Belinda Bencic,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0064,LOW
12,Marta Kostyuk,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0058,VERY LOW
13,Jasmine Paolini,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0054,VERY LOW
14,Naomi Osaka,0.0%,0.0%,0.0%,0.0%,0,0.00,0.005,VERY LOW
15,Diana Shnaider,0.0%,0.0%,0.0%,0.0%,0,0.00,0.0047,VERY LOW
